id,category,cats,n_parcels,lat,lon,units,address,on_arterial,d_commercial,corridor_200,corridor_300,corridor_400
117,apartment,apartment,1,41.89556233,-87.7764737,,522 N HUMPHREY AVE,0,253.8,0,1,1
118,apartment,apartment,1,41.89639004,-87.77549929,,848 N AUSTIN BLVD,1,549.7,1,1,1
119,apartment,apartment,1,41.89615884,-87.77550607,,840 N AUSTIN BLVD,1,468.7,1,1,1
120,apartment,apartment,1,41.89605902,-87.775464,,836 N AUSTIN BLVD,1,438.1,1,1,1
121,apartment,apartment,1,41.89515664,-87.77644375,,510 N HUMPHREY AVE,1,115.6,1,1,1
122,apartment,apartment,1,41.89487381,-87.77564572,,2 CHICAGO AVE,1,24.2,1,1,1
123,apartment,apartment,1,41.9087152,-87.80207313,,7017 NORTH AVE,1,18.6,1,1,1
124,apartment,apartment,1,41.90870576,-87.80145934,,7003 NORTH AVE,1,102.5,1,1,1
125,apartment,apartment,1,41.90870746,-87.80136935,,7001 NORTH AVE,1,113.5,1,1,1
126,apartment,apartment,1,41.90876982,-87.79996534,,6935 NORTH AVE,1,53.4,1,1,1
127,apartment,apartment,1,41.9085166,-87.79990685,,6933 NORTH AVE,1,113.5,1,1,1
128,apartment,apartment,1,41.908614,-87.79978097,,6931 NORTH AVE,1,116.8,1,1,1
129,apartment,apartment,1,41.90875851,-87.80073315,,6951 NORTH AVE,1,42.2,1,1,1
130,apartment,apartment,1,41.90873644,-87.79852167,,6905 NORTH AVE,1,140.0,1,1,1
131,apartment,apartment,1,41.90868091,-87.79840097,,6901 NORTH AVE,1,167.9,1,1,1
132,apartment,apartment,1,41.90872166,-87.79753695,,6851 NORTH AVE,1,53.0,1,1,1
133,apartment,apartment,1,41.90642221,-87.80526414,,1431 N HARLEM AVE,1,464.2,1,1,1
134,apartment,apartment,1,41.90423159,-87.80517715,,1321 N HARLEM AVE,1,882.7,1,1,1
135,apartment,apartment,1,41.90440563,-87.80514994,,1327 N HARLEM AVE 1,1,945.4,1,1,1
136,apartment,apartment,1,41.90380997,-87.80516214,,1307 N HARLEM AVE,1,729.4,1,1,1
137,apartment,apartment,1,41.90367574,-87.80509162,,1305 N HARLEM AVE,1,679.2,1,1,1
138,apartment,apartment,1,41.90507564,-87.80518827,,1345 N HARLEM AVE,1,954.6,1,1,1
139,apartment,apartment,1,41.90878487,-87.79460476,,6739 NORTH AVE,1,15.6,1,1,1
140,apartment,apartment,1,41.90879284,-87.79347732,,6717 NORTH AVE,1,29.0,1,1,1
141,apartment,apartment,1,41.90881124,-87.79122245,,6619 NORTH AVE,1,49.7,1,1,1
142,apartment,apartment,1,41.90881722,-87.79111786,,6617 NORTH AVE,1,21.3,1,1,1
143,apartment,apartment,1,41.90891244,-87.7907512,,6609 NORTH AVE,1,53.1,1,1,1
144,apartment,apartment,1,41.90891074,-87.79072195,,6607 NORTH AVE,1,59.7,1,1,1
145,apartment,apartment,1,41.90879769,-87.79058498,,6605 NORTH AVE,1,91.3,1,1,1
146,apartment,apartment,1,41.90892589,-87.79046059,,6603 NORTH AVE,1,128.2,1,1,1
147,apartment,apartment,1,41.90872905,-87.79036671,,6601 NORTH AVE,1,154.4,1,1,1
148,apartment,apartment,1,41.90888217,-87.79004477,,6557 NORTH AVE,1,81.5,1,1,1
149,apartment,apartment,1,41.90889387,-87.78994109,,6555 NORTH AVE,1,55.4,1,1,1
150,apartment,apartment,1,41.9088037,-87.78988862,,6553 NORTH AVE,1,40.3,1,1,1
151,apartment,apartment,1,41.9088717,-87.78920086,,6539 NORTH AVE,1,55.9,1,1,1
152,apartment,apartment,1,41.90885181,-87.78910529,,6537 NORTH AVE,1,34.9,1,1,1
153,apartment,apartment,1,41.90873188,-87.78890795,,6533 NORTH AVE,1,68.6,1,1,1
154,apartment,apartment,1,41.900367,-87.80508689,,1117 N HARLEM AVE,1,249.6,1,1,1
155,apartment,apartment,1,41.9000111,-87.80357791,,804 N MARION ST,0,535.5,0,0,0
156,apartment,apartment,1,41.90090021,-87.80277807,,831 BELLEFORTE AVE 2,0,599.0,0,0,0
157,apartment,apartment,1,41.90030643,-87.80284517,,813 BELLEFORTE AVE,0,638.3,0,0,0
158,apartment,apartment,1,41.90017252,-87.80282238,,811 BELLEFORTE AVE,0,665.8,0,0,0
159,apartment,apartment,1,41.89992614,-87.80326331,,1050 THOMAS ST,0,618.9,0,0,0
160,apartment,apartment,1,41.90052441,-87.80214556,,820 BELLEFORTE AVE 2,0,791.3,0,0,0
